,timepoint,cloudcover,highcloud,midcloud,lowcloud,rh_profile,wind_profile,temp2m,lifted_index,rh2m,msl_pressure,prec_type,prec_amount,snow_depth,wind10m.direction,wind10m.speed,country
59,180,8,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': -9999}, {'layer': '900mb', 'rh': 11}, {'layer': '850mb', 'rh': 4}, {'layer': '800mb', 'rh': 4}, {'layer': '750mb', 'rh': 7}, {'layer': '700mb', 'rh': 7}, {'layer': '650mb', 'rh': 4}, {'layer': '600mb', 'rh': 4}, {'layer': '550mb', 'rh': 0}, {'layer': '500mb', 'rh': -2}, {'layer': '450mb', 'rh': 15}, {'layer': '400mb', 'rh': 16}, {'layer': '350mb', 'rh': 16}, {'layer': '300mb', 'rh': -1}, {'layer': '250mb', 'rh': -2}, {'layer': '200mb', 'rh': -4}]","[{'layer': '950mb', 'direction': -9999, 'speed': -9999}, {'layer': '900mb', 'direction': 110, 'speed': 3}, {'layer': '850mb', 'direction': 205, 'speed': 2}, {'layer': '800mb', 'direction': 230, 'speed': 3}, {'layer': '750mb', 'direction': 225, 'speed': 4}, {'layer': '700mb', 'direction': 260, 'speed': 3}, {'layer': '650mb', 'direction': 290, 'speed': 3}, {'layer': '600mb', 'direction': 290, 'speed': 3}, {'layer': '550mb', 'direction': 260, 'speed': 3}, {'layer': '500mb', 'direction': 235, 'speed': 4}, {'layer': '450mb', 'direction': 225, 'speed': 4}, {'layer': '400mb', 'direction': 220, 'speed': 5}, {'layer': '350mb', 'direction': 235, 'speed': 5}, {'layer': '300mb', 'direction': 240, 'speed': 8}, {'layer': '250mb', 'direction': 245, 'speed': 9}, {'layer': '200mb', 'direction': 245, 'speed': 11}]",2,15,13,1006,none,1,0,80,2,USA
60,183,9,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': -9999}, {'layer': '900mb', 'rh': 12}, {'layer': '850mb', 'rh': 7}, {'layer': '800mb', 'rh': 7}, {'layer': '750mb', 'rh': 9}, {'layer': '700mb', 'rh': 9}, {'layer': '650mb', 'rh': 5}, {'layer': '600mb', 'rh': 10}, {'layer': '550mb', 'rh': 11}, {'layer': '500mb', 'rh': 16}, {'layer': '450mb', 'rh': 16}, {'layer': '400mb', 'rh': 16}, {'layer': '350mb', 'rh': 16}, {'layer': '300mb', 'rh': 2}, {'layer': '250mb', 'rh': -2}, {'layer': '200mb', 'rh': -4}]","[{'layer': '950mb', 'direction': -9999, 'speed': -9999}, {'layer': '900mb', 'direction': 120, 'speed': 3}, {'layer': '850mb', 'direction': 155, 'speed': 3}, {'layer': '800mb', 'direction': 195, 'speed': 3}, {'layer': '750mb', 'direction': 210, 'speed': 4}, {'layer': '700mb', 'direction': 220, 'speed': 4}, {'layer': '650mb', 'direction': 245, 'speed': 3}, {'layer': '600mb', 'direction': 270, 'speed': 2}, {'layer': '550mb', 'direction': 265, 'speed': 2}, {'layer': '500mb', 'direction': 200, 'speed': 3}, {'layer': '450mb', 'direction': 230, 'speed': 5}, {'layer': '400mb', 'direction': 240, 'speed': 5}, {'layer': '350mb', 'direction': 235, 'speed': 4}, {'layer': '300mb', 'direction': 235, 'speed': 6}, {'layer': '250mb', 'direction': 235, 'speed': 7}, {'layer': '200mb', 'direction': 245, 'speed': 10}]",2,10,12,1008,none,1,0,115,2,USA
61,186,9,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': -9999}, {'layer': '900mb', 'rh': 12}, {'layer': '850mb', 'rh': 10}, {'layer': '800mb', 'rh': 12}, {'layer': '750mb', 'rh': 12}, {'layer': '700mb', 'rh': 13}, {'layer': '650mb', 'rh': 14}, {'layer': '600mb', 'rh': 15}, {'layer': '550mb', 'rh': 16}, {'layer': '500mb', 'rh': 16}, {'layer': '450mb', 'rh': 16}, {'layer': '400mb', 'rh': 16}, {'layer': '350mb', 'rh': 16}, {'layer': '300mb', 'rh': 2}, {'layer': '250mb', 'rh': -3}, {'layer': '200mb', 'rh': -4}]","[{'layer': '950mb', 'direction': -9999, 'speed': -9999}, {'layer': '900mb', 'direction': 110, 'speed': 3}, {'layer': '850mb', 'direction': 190, 'speed': 3}, {'layer': '800mb', 'direction': 200, 'speed': 3}, {'layer': '750mb', 'direction': 175, 'speed': 3}, {'layer': '700mb', 'direction': 155, 'speed': 3}, {'layer': '650mb', 'direction': 150, 'speed': 3}, {'layer': '600mb', 'direction': 165, 'speed': 3}, {'layer': '550mb', 'direction': 185, 'speed': 5}, {'layer': '500mb', 'direction': 200, 'speed': 5}, {'layer': '450mb', 'direction': 210, 'speed': 4}, {'layer': '400mb', 'direction': 245, 'speed': 5}, {'layer': '350mb', 'direction': 245, 'speed': 3}, {'layer': '300mb', 'direction': 235, 'speed': 6}, {'layer': '250mb', 'direction': 245, 'speed': 7}, {'layer': '200mb', 'direction': 250, 'speed': 9}]",3,6,10,1006,rain,1,0,95,3,USA
62,189,9,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': -9999}, {'layer': '900mb', 'rh': 10}, {'layer': '850mb', 'rh': 14}, {'layer': '800mb', 'rh': 11}, {'layer': '750mb', 'rh': 15}, {'layer': '700mb', 'rh': 15}, {'layer': '650mb', 'rh': 15}, {'layer': '600mb', 'rh': 14}, {'layer': '550mb', 'rh': 11}, {'layer': '500mb', 'rh': 8}, {'layer': '450mb', 'rh': 5}, {'layer': '400mb', 'rh': 9}, {'layer': '350mb', 'rh': 11}, {'layer': '300mb', 'rh': 1}, {'layer': '250mb', 'rh': -3}, {'layer': '200mb', 'rh': -4}]","[{'layer': '950mb', 'direction': -9999, 'speed': -9999}, {'layer': '900mb', 'direction': 95, 'speed': 3}, {'layer': '850mb', 'direction': 100, 'speed': 3}, {'layer': '800mb', 'direction': 130, 'speed': 3}, {'layer': '750mb', 'direction': 170, 'speed': 4}, {'layer': '700mb', 'direction': 185, 'speed': 5}, {'layer': '650mb', 'direction': 195, 'speed': 5}, {'layer': '600mb', 'direction': 220, 'speed': 4}, {'layer': '550mb', 'direction': 240, 'speed': 3}, {'layer': '500mb', 'direction': 225, 'speed': 3}, {'layer': '450mb', 'direction': 230, 'speed': 4}, {'layer': '400mb', 'direction': 200, 'speed': 3}, {'layer': '350mb', 'direction': 225, 'speed': 4}, {'layer': '300mb', 'direction': 240, 'speed': 6}, {'layer': '250mb', 'direction': 245, 'speed': 7}, {'layer': '200mb', 'direction': 250, 'speed': 8}]",7,6,8,1005,rain,2,0,85,3,USA
63,192,9,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': -9999}, {'layer': '900mb', 'rh': 10}, {'layer': '850mb', 'rh': 14}, {'layer': '800mb', 'rh': 15}, {'layer': '750mb', 'rh': 16}, {'layer': '700mb', 'rh': 15}, {'layer': '650mb', 'rh': 15}, {'layer': '600mb', 'rh': 7}, {'layer': '550mb', 'rh': 4}, {'layer': '500mb', 'rh': 10}, {'layer': '450mb', 'rh': 8}, {'layer': '400mb', 'rh': 6}, {'layer': '350mb', 'rh': 6}, {'layer': '300mb', 'rh': 0}, {'layer': '250mb', 'rh': -3}, {'layer': '200mb', 'rh': -4}]","[{'layer': '950mb', 'direction': -9999, 'speed': -9999}, {'layer': '900mb', 'direction': 85, 'speed': 3}, {'layer': '850mb', 'direction': 100, 'speed': 3}, {'layer': '800mb', 'direction': 170, 'speed': 3}, {'layer': '750mb', 'direction': 200, 'speed': 4}, {'layer': '700mb', 'direction': 205, 'speed': 3}, {'layer': '650mb', 'direction': 215, 'speed': 3}, {'layer': '600mb', 'direction': 250, 'speed': 3}, {'layer': '550mb', 'direction': 240, 'speed': 3}, {'layer': '500mb', 'direction': 235, 'speed': 4}, {'layer': '450mb', 'direction': 215, 'speed': 3}, {'layer': '400mb', 'direction': 195, 'speed': 3}, {'layer': '350mb', 'direction': 225, 'speed': 3}, {'layer': '300mb', 'direction': 230, 'speed': 5}, {'layer': '250mb', 'direction': 245, 'speed': 7}, {'layer': '200mb', 'direction': 245, 'speed': 7}]",5,6,10,1007,rain,2,0,50,3,USA
0,3,2,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 7}, {'layer': '900mb', 'rh': 9}, {'layer': '850mb', 'rh': 12}, {'layer': '800mb', 'rh': 12}, {'layer': '750mb', 'rh': 13}, {'layer': '700mb', 'rh': 14}, {'layer': '650mb', 'rh': 12}, {'layer': '600mb', 'rh': 5}, {'layer': '550mb', 'rh': 5}, {'layer': '500mb', 'rh': 7}, {'layer': '450mb', 'rh': -4}, {'layer': '400mb', 'rh': -4}, {'layer': '350mb', 'rh': -4}, {'layer': '300mb', 'rh': -3}, {'layer': '250mb', 'rh': -3}, {'layer': '200mb', 'rh': -3}]","[{'layer': '950mb', 'direction': 95, 'speed': 2}, {'layer': '900mb', 'direction': 75, 'speed': 2}, {'layer': '850mb', 'direction': 45, 'speed': 2}, {'layer': '800mb', 'direction': 350, 'speed': 3}, {'layer': '750mb', 'direction': 330, 'speed': 3}, {'layer': '700mb', 'direction': 320, 'speed': 3}, {'layer': '650mb', 'direction': 315, 'speed': 3}, {'layer': '600mb', 'direction': 320, 'speed': 4}, {'layer': '550mb', 'direction': 315, 'speed': 3}, {'layer': '500mb', 'direction': 310, 'speed': 5}, {'layer': '450mb', 'direction': 300, 'speed': 6}, {'layer': '400mb', 'direction': 285, 'speed': 5}, {'layer': '350mb', 'direction': 270, 'speed': 5}, {'layer': '300mb', 'direction': 260, 'speed': 5}, {'layer': '250mb', 'direction': 260, 'speed': 5}, {'layer': '200mb', 'direction': 240, 'speed': 5}]",30,-1,5,1006,none,1,0,95,2,Australia
1,6,3,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 5}, {'layer': '900mb', 'rh': 7}, {'layer': '850mb', 'rh': 10}, {'layer': '800mb', 'rh': 13}, {'layer': '750mb', 'rh': 15}, {'layer': '700mb', 'rh': 12}, {'layer': '650mb', 'rh': 8}, {'layer': '600mb', 'rh': 7}, {'layer': '550mb', 'rh': 7}, {'layer': '500mb', 'rh': 11}, {'layer': '450mb', 'rh': -2}, {'layer': '400mb', 'rh': -4}, {'layer': '350mb', 'rh': -4}, {'layer': '300mb', 'rh': -4}, {'layer': '250mb', 'rh': -3}, {'layer': '200mb', 'rh': -2}]","[{'layer': '950mb', 'direction': 355, 'speed': 2}, {'layer': '900mb', 'direction': 0, 'speed': 2}, {'layer': '850mb', 'direction': 5, 'speed': 2}, {'layer': '800mb', 'direction': 0, 'speed': 2}, {'layer': '750mb', 'direction': 340, 'speed': 3}, {'layer': '700mb', 'direction': 305, 'speed': 3}, {'layer': '650mb', 'direction': 300, 'speed': 3}, {'layer': '600mb', 'direction': 300, 'speed': 4}, {'layer': '550mb', 'direction': 295, 'speed': 4}, {'layer': '500mb', 'direction': 290, 'speed': 4}, {'layer': '450mb', 'direction': 285, 'speed': 6}, {'layer': '400mb', 'direction': 280, 'speed': 5}, {'layer': '350mb', 'direction': 265, 'speed': 5}, {'layer': '300mb', 'direction': 260, 'speed': 6}, {'layer': '250mb', 'direction': 260, 'speed': 5}, {'layer': '200mb', 'direction': 240, 'speed': 5}]",31,-4,4,1004,none,1,0,75,2,Australia
2,9,5,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 4}, {'layer': '900mb', 'rh': 6}, {'layer': '850mb', 'rh': 9}, {'layer': '800mb', 'rh': 12}, {'layer': '750mb', 'rh': 12}, {'layer': '700mb', 'rh': 14}, {'layer': '650mb', 'rh': 9}, {'layer': '600mb', 'rh': 9}, {'layer': '550mb', 'rh': 6}, {'layer': '500mb', 'rh': 3}, {'layer': '450mb', 'rh': -3}, {'layer': '400mb', 'rh': -4}, {'layer': '350mb', 'rh': -4}, {'layer': '300mb', 'rh': -4}, {'layer': '250mb', 'rh': -3}, {'layer': '200mb', 'rh': -2}]","[{'layer': '950mb', 'direction': 60, 'speed': 2}, {'layer': '900mb', 'direction': 125, 'speed': 2}, {'layer': '850mb', 'direction': 150, 'speed': 2}, {'layer': '800mb', 'direction': 300, 'speed': 2}, {'layer': '750mb', 'direction': 320, 'speed': 4}, {'layer': '700mb', 'direction': 315, 'speed': 4}, {'layer': '650mb', 'direction': 305, 'speed': 3}, {'layer': '600mb', 'direction': 285, 'speed': 4}, {'layer': '550mb', 'direction': 270, 'speed': 4}, {'layer': '500mb', 'direction': 265, 'speed': 4}, {'layer': '450mb', 'direction': 275, 'speed': 6}, {'layer': '400mb', 'direction': 270, 'speed': 5}, {'layer': '350mb', 'direction': 260, 'speed': 5}, {'layer': '300mb', 'direction': 255, 'speed': 5}, {'layer': '250mb', 'direction': 240, 'speed': 5}, {'layer': '200mb', 'direction': 235, 'speed': 5}]",32,-1,3,1004,none,1,0,125,2,Australia
3,12,6,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 5}, {'layer': '900mb', 'rh': 7}, {'layer': '850mb', 'rh': 9}, {'layer': '800mb', 'rh': 11}, {'layer': '750mb', 'rh': 11}, {'layer': '700mb', 'rh': 13}, {'layer': '650mb', 'rh': 10}, {'layer': '600mb', 'rh': 8}, {'layer': '550mb', 'rh': 6}, {'layer': '500mb', 'rh': 5}, {'layer': '450mb', 'rh': -3}, {'layer': '400mb', 'rh': -4}, {'layer': '350mb', 'rh': -4}, {'layer': '300mb', 'rh': -4}, {'layer': '250mb', 'rh': -3}, {'layer': '200mb', 'rh': -1}]","[{'layer': '950mb', 'direction': 155, 'speed': 3}, {'layer': '900mb', 'direction': 155, 'speed': 3}, {'layer': '850mb', 'direction': 125, 'speed': 2}, {'layer': '800mb', 'direction': 340, 'speed': 2}, {'layer': '750mb', 'direction': 330, 'speed': 4}, {'layer': '700mb', 'direction': 325, 'speed': 4}, {'layer': '650mb', 'direction': 300, 'speed': 3}, {'layer': '600mb', 'direction': 260, 'speed': 3}, {'layer': '550mb', 'direction': 255, 'speed': 3}, {'layer': '500mb', 'direction': 260, 'speed': 4}, {'layer': '450mb', 'direction': 270, 'speed': 6}, {'layer': '400mb', 'direction': 265, 'speed': 5}, {'layer': '350mb', 'direction': 260, 'speed': 5}, {'layer': '300mb', 'direction': 255, 'speed': 5}, {'layer': '250mb', 'direction': 245, 'speed': 5}, {'layer': '200mb', 'direction': 240, 'speed': 5}]",32,-1,4,1005,none,1,0,140,2,Australia
4,15,6,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 5}, {'layer': '900mb', 'rh': 7}, {'layer': '850mb', 'rh': 9}, {'layer': '800mb', 'rh': 10}, {'layer': '750mb', 'rh': 12}, {'layer': '700mb', 'rh': 14}, {'layer': '650mb', 'rh': 14}, {'layer': '600mb', 'rh': 7}, {'layer': '550mb', 'rh': 8}, {'layer': '500mb', 'rh': 13}, {'layer': '450mb', 'rh': -2}, {'layer': '400mb', 'rh': -4}, {'layer': '350mb', 'rh': -4}, {'layer': '300mb', 'rh': -4}, {'layer': '250mb', 'rh': -3}, {'layer': '200mb', 'rh': -1}]","[{'layer': '950mb', 'direction': 115, 'speed': 3}, {'layer': '900mb', 'direction': 120, 'speed': 3}, {'layer': '850mb', 'direction': 120, 'speed': 2}, {'layer': '800mb', 'direction': 310, 'speed': 3}, {'layer': '750mb', 'direction': 310, 'speed': 3}, {'layer': '700mb', 'direction': 315, 'speed': 4}, {'layer': '650mb', 'direction': 295, 'speed': 4}, {'layer': '600mb', 'direction': 270, 'speed': 3}, {'layer': '550mb', 'direction': 250, 'speed': 3}, {'layer': '500mb', 'direction': 275, 'speed': 4}, {'layer': '450mb', 'direction': 270, 'speed': 5}, {'layer': '400mb', 'direction': 260, 'speed': 5}, {'layer': '350mb', 'direction': 255, 'speed': 5}, {'layer': '300mb', 'direction': 255, 'speed': 5}, {'layer': '250mb', 'direction': 250, 'speed': 5}, {'layer': '200mb', 'direction': 250, 'speed': 5}]",29,-4,5,1005,rain,1,0,115,2,Australia
5,18,7,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 6}, {'layer': '900mb', 'rh': 7}, {'layer': '850mb', 'rh': 10}, {'layer': '800mb', 'rh': 12}, {'layer': '750mb', 'rh': 14}, {'layer': '700mb', 'rh': 15}, {'layer': '650mb', 'rh': 15}, {'layer': '600mb', 'rh': 7}, {'layer': '550mb', 'rh': 8}, {'layer': '500mb', 'rh': 14}, {'layer': '450mb', 'rh': -3}, {'layer': '400mb', 'rh': -4}, {'layer': '350mb', 'rh': -4}, {'layer': '300mb', 'rh': -4}, {'layer': '250mb', 'rh': -3}, {'layer': '200mb', 'rh': -2}]","[{'layer': '950mb', 'direction': 55, 'speed': 3}, {'layer': '900mb', 'direction': 80, 'speed': 3}, {'layer': '850mb', 'direction': 85, 'speed': 2}, {'layer': '800mb', 'direction': 345, 'speed': 2}, {'layer': '750mb', 'direction': 300, 'speed': 3}, {'layer': '700mb', 'direction': 315, 'speed': 3}, {'layer': '650mb', 'direction': 295, 'speed': 3}, {'layer': '600mb', 'direction': 245, 'speed': 3}, {'layer': '550mb', 'direction': 240, 'speed': 3}, {'layer': '500mb', 'direction': 275, 'speed': 5}, {'layer': '450mb', 'direction': 260, 'speed': 5}, {'layer': '400mb', 'direction': 250, 'speed': 5}, {'layer': '350mb', 'direction': 255, 'speed': 5}, {'layer': '300mb', 'direction': 255, 'speed': 5}, {'layer': '250mb', 'direction': 250, 'speed': 5}, {'layer': '200mb', 'direction': 260, 'speed': 4}]",29,-4,6,1005,rain,1,0,80,2,Australia
6,21,7,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 6}, {'layer': '900mb', 'rh': 7}, {'layer': '850mb', 'rh': 9}, {'layer': '800mb', 'rh': 12}, {'layer': '750mb', 'rh': 13}, {'layer': '700mb', 'rh': 11}, {'layer': '650mb', 'rh': 12}, {'layer': '600mb', 'rh': 8}, {'layer': '550mb', 'rh': 10}, {'layer': '500mb', 'rh': 15}, {'layer': '450mb', 'rh': -4}, {'layer': '400mb', 'rh': -4}, {'layer': '350mb', 'rh': -4}, {'layer': '300mb', 'rh': -3}, {'layer': '250mb', 'rh': -3}, {'layer': '200mb', 'rh': -2}]","[{'layer': '950mb', 'direction': 40, 'speed': 2}, {'layer': '900mb', 'direction': 75, 'speed': 2}, {'layer': '850mb', 'direction': 85, 'speed': 2}, {'layer': '800mb', 'direction': 0, 'speed': 2}, {'layer': '750mb', 'direction': 325, 'speed': 3}, {'layer': '700mb', 'direction': 310, 'speed': 3}, {'layer': '650mb', 'direction': 270, 'speed': 3}, {'layer': '600mb', 'direction': 250, 'speed': 2}, {'layer': '550mb', 'direction': 240, 'speed': 2}, {'layer': '500mb', 'direction': 260, 'speed': 4}, {'layer': '450mb', 'direction': 240, 'speed': 5}, {'layer': '400mb', 'direction': 250, 'speed': 5}, {'layer': '350mb', 'direction': 255, 'speed': 5}, {'layer': '300mb', 'direction': 250, 'speed': 5}, {'layer': '250mb', 'direction': 255, 'speed': 5}, {'layer': '200mb', 'direction': 265, 'speed': 5}]",28,-4,7,1006,rain,1,0,70,2,Australia
7,24,5,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 6}, {'layer': '900mb', 'rh': 9}, {'layer': '850mb', 'rh': 9}, {'layer': '800mb', 'rh': 11}, {'layer': '750mb', 'rh': 13}, {'layer': '700mb', 'rh': 12}, {'layer': '650mb', 'rh': 13}, {'layer': '600mb', 'rh': 8}, {'layer': '550mb', 'rh': 8}, {'layer': '500mb', 'rh': 11}, {'layer': '450mb', 'rh': -4}, {'layer': '400mb', 'rh': -4}, {'layer': '350mb', 'rh': -4}, {'layer': '300mb', 'rh': -4}, {'layer': '250mb', 'rh': -4}, {'layer': '200mb', 'rh': -3}]","[{'layer': '950mb', 'direction': 75, 'speed': 2}, {'layer': '900mb', 'direction': 75, 'speed': 2}, {'layer': '850mb', 'direction': 45, 'speed': 2}, {'layer': '800mb', 'direction': 345, 'speed': 2}, {'layer': '750mb', 'direction': 310, 'speed': 3}, {'layer': '700mb', 'direction': 310, 'speed': 3}, {'layer': '650mb', 'direction': 310, 'speed': 3}, {'layer': '600mb', 'direction': 290, 'speed': 2}, {'layer': '550mb', 'direction': 235, 'speed': 2}, {'layer': '500mb', 'direction': 275, 'speed': 3}, {'layer': '450mb', 'direction': 245, 'speed': 4}, {'layer': '400mb', 'direction': 255, 'speed': 5}, {'layer': '350mb', 'direction': 265, 'speed': 5}, {'layer': '300mb', 'direction': 265, 'speed': 5}, {'layer': '250mb', 'direction': 255, 'speed': 5}, {'layer': '200mb', 'direction': 250, 'speed': 5}]",32,-4,5,1006,rain,1,0,70,2,Australia
8,27,2,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 4}, {'layer': '900mb', 'rh': 6}, {'layer': '850mb', 'rh': 8}, {'layer': '800mb', 'rh': 12}, {'layer': '750mb', 'rh': 10}, {'layer': '700mb', 'rh': 11}, {'layer': '650mb', 'rh': 13}, {'layer': '600mb', 'rh': 10}, {'layer': '550mb', 'rh': 5}, {'layer': '500mb', 'rh': 12}, {'layer': '450mb', 'rh': -4}, {'layer': '400mb', 'rh': -4}, {'layer': '350mb', 'rh': -4}, {'layer': '300mb', 'rh': -4}, {'layer': '250mb', 'rh': -4}, {'layer': '200mb', 'rh': -3}]","[{'layer': '950mb', 'direction': 95, 'speed': 2}, {'layer': '900mb', 'direction': 95, 'speed': 2}, {'layer': '850mb', 'direction': 95, 'speed': 2}, {'layer': '800mb', 'direction': 80, 'speed': 2}, {'layer': '750mb', 'direction': 310, 'speed': 3}, {'layer': '700mb', 'direction': 315, 'speed': 3}, {'layer': '650mb', 'direction': 310, 'speed': 3}, {'layer': '600mb', 'direction': 295, 'speed': 3}, {'layer': '550mb', 'direction': 290, 'speed': 2}, {'layer': '500mb', 'direction': 290, 'speed': 3}, {'layer': '450mb', 'direction': 250, 'speed': 3}, {'layer': '400mb', 'direction': 265, 'speed': 5}, {'layer': '350mb', 'direction': 260, 'speed': 5}, {'layer': '300mb', 'direction': 265, 'speed': 5}, {'layer': '250mb', 'direction': 265, 'speed': 5}, {'layer': '200mb', 'direction': 245, 'speed': 5}]",34,-4,3,1004,none,1,0,75,2,Australia
9,30,3,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 2}, {'layer': '900mb', 'rh': 4}, {'layer': '850mb', 'rh': 6}, {'layer': '800mb', 'rh': 9}, {'layer': '750mb', 'rh': 13}, {'layer': '700mb', 'rh': 15}, {'layer': '650mb', 'rh': 15}, {'layer': '600mb', 'rh': 10}, {'layer': '550mb', 'rh': 5}, {'layer': '500mb', 'rh': 10}, {'layer': '450mb', 'rh': -2}, {'layer': '400mb', 'rh': -4}, {'layer': '350mb', 'rh': -4}, {'layer': '300mb', 'rh': -4}, {'layer': '250mb', 'rh': -4}, {'layer': '200mb', 'rh': -4}]","[{'layer': '950mb', 'direction': 65, 'speed': 2}, {'layer': '900mb', 'direction': 55, 'speed': 2}, {'layer': '850mb', 'direction': 40, 'speed': 2}, {'layer': '800mb', 'direction': 20, 'speed': 2}, {'layer': '750mb', 'direction': 0, 'speed': 2}, {'layer': '700mb', 'direction': 305, 'speed': 2}, {'layer': '650mb', 'direction': 285, 'speed': 3}, {'layer': '600mb', 'direction': 280, 'speed': 3}, {'layer': '550mb', 'direction': 285, 'speed': 3}, {'layer': '500mb', 'direction': 295, 'speed': 3}, {'layer': '450mb', 'direction': 255, 'speed': 3}, {'layer': '400mb', 'direction': 260, 'speed': 5}, {'layer': '350mb', 'direction': 260, 'speed': 5}, {'layer': '300mb', 'direction': 265, 'speed': 5}, {'layer': '250mb', 'direction': 260, 'speed': 5}, {'layer': '200mb', 'direction': 245, 'speed': 5}]",36,-4,1,1002,none,1,0,55,2,Australia
10,33,6,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 5}, {'layer': '900mb', 'rh': 5}, {'layer': '850mb', 'rh': 6}, {'layer': '800mb', 'rh': 9}, {'layer': '750mb', 'rh': 12}, {'layer': '700mb', 'rh': 15}, {'layer': '650mb', 'rh': 13}, {'layer': '600mb', 'rh': 7}, {'layer': '550mb', 'rh': 10}, {'layer': '500mb', 'rh': 9}, {'layer': '450mb', 'rh': 9}, {'layer': '400mb', 'rh': -2}, {'layer': '350mb', 'rh': -4}, {'layer': '300mb', 'rh': -4}, {'layer': '250mb', 'rh': -4}, {'layer': '200mb', 'rh': -4}]","[{'layer': '950mb', 'direction': 180, 'speed': 5}, {'layer': '900mb', 'direction': 165, 'speed': 3}, {'layer': '850mb', 'direction': 100, 'speed': 2}, {'layer': '800mb', 'direction': 35, 'speed': 2}, {'layer': '750mb', 'direction': 0, 'speed': 3}, {'layer': '700mb', 'direction': 340, 'speed': 3}, {'layer': '650mb', 'direction': 305, 'speed': 3}, {'layer': '600mb', 'direction': 290, 'speed': 3}, {'layer': '550mb', 'direction': 300, 'speed': 3}, {'layer': '500mb', 'direction': 280, 'speed': 3}, {'layer': '450mb', 'direction': 245, 'speed': 3}, {'layer': '400mb', 'direction': 250, 'speed': 5}, {'layer': '350mb', 'direction': 265, 'speed': 5}, {'layer': '300mb', 'direction': 265, 'speed': 5}, {'layer': '250mb', 'direction': 245, 'speed': 5}, {'layer': '200mb', 'direction': 255, 'speed': 5}]",33,-1,8,1003,rain,2,0,140,3,Australia
11,36,6,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 3}, {'layer': '900mb', 'rh': 4}, {'layer': '850mb', 'rh': 6}, {'layer': '800mb', 'rh': 7}, {'layer': '750mb', 'rh': 9}, {'layer': '700mb', 'rh': 11}, {'layer': '650mb', 'rh': 15}, {'layer': '600mb', 'rh': 11}, {'layer': '550mb', 'rh': 11}, {'layer': '500mb', 'rh': 3}, {'layer': '450mb', 'rh': -1}, {'layer': '400mb', 'rh': -4}, {'layer': '350mb', 'rh': -4}, {'layer': '300mb', 'rh': -4}, {'layer': '250mb', 'rh': -4}, {'layer': '200mb', 'rh': -4}]","[{'layer': '950mb', 'direction': 140, 'speed': 2}, {'layer': '900mb', 'direction': 120, 'speed': 3}, {'layer': '850mb', 'direction': 110, 'speed': 3}, {'layer': '800mb', 'direction': 115, 'speed': 2}, {'layer': '750mb', 'direction': 140, 'speed': 2}, {'layer': '700mb', 'direction': 225, 'speed': 2}, {'layer': '650mb', 'direction': 230, 'speed': 2}, {'layer': '600mb', 'direction': 310, 'speed': 2}, {'layer': '550mb', 'direction': 295, 'speed': 3}, {'layer': '500mb', 'direction': 285, 'speed': 3}, {'layer': '450mb', 'direction': 280, 'speed': 3}, {'layer': '400mb', 'direction': 260, 'speed': 5}, {'layer': '350mb', 'direction': 260, 'speed': 5}, {'layer': '300mb', 'direction': 260, 'speed': 5}, {'layer': '250mb', 'direction': 255, 'speed': 5}, {'layer': '200mb', 'direction': 260, 'speed': 5}]",32,-1,4,1005,rain,2,0,125,3,Australia
